,ratings,Bold,Tannic,Sweet,Alcohol content,contain_eggs,contain_milk,Type_dessert,Type_fortified,Type_red,Type_rose,Type_sparkling,Type_white
234,4.2,85,55.0703,7.0079,14.6,0,0,0,0,1,0,0,0
235,4.2,50.554,39.3155,8.48739,14,0,0,0,0,1,0,0,0
236,4.2,63.5602,47.2757,3.38483,13.5890593,0,0,0,0,1,0,0,0
237,4.2,63.2686,62.3454,9.89065,14,0,0,0,0,1,0,0,0
238,4.2,85,51.6883,8.32987,14.8,0,0,0,0,1,0,0,0
239,4.2,41.7807,21.4548,9.74255,14.5,0,0,0,0,1,0,0,0
240,4.2,57.2695,76.3036,48.83179461,13.5890593,0,0,0,0,1,0,0,0
241,4.2,75.0773,39.9448,10.9725,14,0,0,0,0,1,0,0,0
242,4.2,85,31.0654,27.0777,15.5,0,0,0,0,1,0,0,0
243,4.2,84.3626,52.8691,10.9727,13.5890593,0,0,0,0,1,0,0,0
244,4.2,22.4794,20.5011,4.24868,13.5,0,0,0,0,1,0,0,0
245,4.2,31.3042,19.7467,3.20834,13.5890593,0,0,0,0,1,0,0,0
246,4.2,48.506,40.9664,8.59994,13.5890593,0,0,0,0,1,0,0,0
247,4.2,85,47.8384,8.54873,14.9,0,0,0,0,1,0,0,0
248,4.2,85,54.4104,10.7395,14.3,0,0,0,0,1,0,0,0
249,4.2,85,28.6919,28.5096,14.9,0,0,0,0,1,0,0,0
250,4.2,66.8766,23.7851,17.0432,14.2,0,0,0,0,1,0,0,0
251,4.2,63.4502,46.0316,48.83179461,13.5890593,0,0,0,0,1,0,0,0
252,4.2,47.3441,43.2198,11.9863,13.5890593,0,0,0,0,1,0,0,0
253,4.2,79.4198,51.8302,3.24704,13.5890593,0,0,0,0,1,0,0,0
254,4.2,85,56.3592,10.3292,14.5,0,0,0,0,1,0,0,0
255,4.2,61.4075,42.5158,18.505,13.5890593,0,0,0,0,1,0,0,0
256,4.2,75.0208,62.2756,15.9258,13.5890593,0,0,0,0,1,0,0,0
257,4.2,54.4539,45.3762,2.31846,13.5890593,0,0,0,0,1,0,0,0
258,4.2,52.2769,42.5301,5.05025,14.5,0,0,0,0,1,0,0,0
259,4.2,47.7672,36.4507,7.30046,13.5890593,0,0,0,0,1,0,0,0
260,4.2,47.8293,16.2279,20.768,14.1,0,0,0,0,1,0,0,0
261,4.2,73.5688,46.4955,10.7396,14,1,1,0,0,1,0,0,0
262,4.2,85,51.3237,12.6812,15,0,0,0,0,1,0,0,0
263,4.2,83.4256,34.4333,4.69029,13.5890593,0,0,0,0,1,0,0,0
264,4.2,66.1456,33.927,18.7912,14,0,0,0,0,1,0,0,0
265,4.2,65.6186,59.8326,10.7237,14.5,0,0,0,0,1,0,0,0
266,4.2,43.849,44.669,11.1129,14.5,0,0,0,0,1,0,0,0
267,4.2,85,50.0136,5.82741,14.6,0,0,0,0,1,0,0,0
268,4.2,19.7787,18.5258,7.79554,13.5,0,0,0,0,1,0,0,0
269,4.2,67.9149,54.0748,4.57482,14.1,0,0,0,0,1,0,0,0
270,4.2,54.761,24.0016,5.91402,13.5,0,0,0,0,1,0,0,0
271,4.2,78.1672,76.8356,3.05559,13.5890593,0,0,0,0,1,0,0,0
272,4.2,39.0031,23.1594,2.21658,13.5,0,0,0,0,1,0,0,0
273,4.2,39.4887,16.0615,6.72282,14,0,0,0,0,1,0,0,0
